Community Group,Number/Code,Trap type,Bait,Strikes,Species caught,Date,Notes,created date,last edited date,Status,Rebaited,Trap condition
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Rat,"January 8, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Rat,"January 14, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,None,1,Rat,"December 6, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,None,1,Rat,"July 6, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Rat,"October 14, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Dried fruit,1,Rat,"January 7, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Other (please specify),1,Rat,"January 6, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh fruit,2,Hedgehog,"March 31, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh fruit,1,Hedgehog,"May 2, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Weasel,"May 17, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,None,1,Rat,"June 6, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Hedgehog,"January 5, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,3,Rat,"March 27, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh meat,1,Mouse,"May 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh meat,3,Mouse,"May 29, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"May 30, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"June 7, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"June 9, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,3,Rat,"June 16, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"June 18, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"July 9, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh meat,1,Rat,"September 5, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
